sentence,hate,category
অপরাধ অপরাধী কোনটার সমালোচনা করবোনা শুধু একটা জিনিসই দেখতে পেলাম এখানে এত লোকের ভিড়ে একটা লোককে এভাবে নির্মম ভাবে কুপিয়ে মারল একটা মানুষ এগিয়ে গেল না তাই এমন জাতির উপর ধিক্কার ছাড়া আর কোন কিছু বলার থাকে না। বাংলাদেশ একটা ভীতু জাতি,1,crime
হে আল্লাহ তুমি 👉জালিমদের হাত থেকে  হেফাজত কর আমিন।,0,entertainment
লাইক দেয়ার মত একটা ভিডিও,0,entertainment
বঙ্গবন্ধু কন্যা শেখ হাসিনা তিনি এমন একজন লোক যার কথা মুখে বলে শেষ করা যায় না পুলিশের ওসি ডিসি মন্ত্রী এমপি ছাত্রলীগ কুত্তালীগ গুরু লীগ এখন আবার বের হয়েছে বদমাইশ লীগ লুচ্চা লেগ বেশরম লীগ ধর্ষণ লীগ তদন্ত লিক ।,0,crime
ওয়াজ এর মধ্য কোন মাধুর্যতা নাই। ফাটা বাশের মত।,0,religion
লুচ্চা ফাহিম কি করে এখানে ওরে লাথি মাইরা বার করো,1,entertainment
স্যার আল্লাহ আপনাকে শত আয়ু দিন। আপনাকে বিনম্র শ্রোদ্ধা জানাই স্যার।,0,celebrity
অই শালায় আমার চুলের জাজ,1,entertainment
আপু আপনাকে অনেক অনেক ধন্যবাদ,0,politics
জন্ম গত সমস্যার কারনে মিন্নীর এমন অবস্হা মিন্নী কে এন কাউন্টারে ফেলা দরকার।,0,crime
তদের মতন শিশু মাওলানার দরকারনাই শালা অলি আউলিয়ার দুশমনরা,1,religion
তোর মাকে চুদি,1,"Meme, TikTok and others"
বেগম জিয়ার সঙ্গে ভোট চোরে তুলনা হাস্যকর ব্যাপার,0,politics
জাজ মিডিয়া নামক কুলাঙ্গার গুলো বাংলা দেশে নিষিদ্ধ করা দরকার এরা সবাই বেশ্যা দিয়ে ছবি তৈরি করে তাও বাবার দেশের নকল,1,entertainment
এটা ঠিক না ভাই,0,sports
সুয়োরের বাচ্চাকে জুতা পিটা করা উচিত ছিল,1,crime
খুব বালো লাগে,0,"Meme, TikTok and others"
অাওমিলীগ ও তাদের নিয়োগ করা সবাই মিলে দেশেটাকে ইভটিজিং ও ধর্ষণের দেশ হিসেবে গড়েছে,0,crime
"আমি ইম্পা কে বিষন ভালোবাসি,,,কিন্তু ও আমার মন টা বোঝে না, কি করবো বলেন তো।",0,entertainment
আপনার ড্রাইভার লাইসেন্স আছে ত,0,politics
ভালো লাগলো ভাই 🌹 সুন্দর কাদের কাকা 😎,0,politics
"আমি জাফর স্যারের অন্ধ ভক্ত নই , অন্ধ আম্লীগ নই , লেখাটা পড়ে মনে হলো , এটা একটা নিরপেক্ষ পর্যালাচনা মুলক লেখা। উনি আসলে বিএনপির ইস্তেহার নিয়ে কোনো তির্যক কথা বলেন নাই , বিএনপির বন্ধুরা উনাকে গালাগাল করে কমেন্ট দেয়ার আগে একটু মনযোগ দিয়ে লেখাটা পুরোপুরি পড়ুন। একটি উন্নত বাংলাদেশের কথা চিন্তা করে ভোট দিন। মুক্তিযুদ্ধের বাংলাদেশের সমুন্নত রাখুন।",0,celebrity
এই শুয়ারের বাচচারাই তো দেশটাকে লুটে পুটে খাচ্ছে নইলে তুই তৃতীয় বিশ্বের একটি দেশ বাংলাদেশ সেই দেশের একজন মনত্রি যে দেশের ষাট ভাগ মানুষ এখনও দরির সীমার নীচে বাস করে আর তোর একটা ঘড়ির দাম দশ লাখ এ রকম বেশ কয়েকটা ঘড়ি যাহার মুল্য প্রায় এক কুটি টাকা এই টাকা অবশ্যই সত পথে আয়ের টাকা না সত পথে আয়ের টাকা হলে এত টাকা দিয়ে ঘড়ি কিনতোনা চুরি চামারির টাকা এদের নেংটা করে পাচা দিয়া গরম সিক ঢোকাইয়া দেওয়া,1,politics
আপনার ভিডিও টি হাজার হাজার দেওয়ানবাগীর উত্তরসূরি দেখে আনলাইক দিয়ে পালাইছে 😎,0,religion
কুত্যার বাচ্চা,1,religion
ওবায়দুল কাদের সাহেবের সাথে খালেদাজিয়ার যারা তুলনা করবে তারা পাগল। খালেদাজিয়া একজন অশিক্ষিত মহিলা কাদের সাহেব ঢাকা বিশ্ববিদ্যালয় পডুয়া। কাদের সাহেব ছাত্র রাজনীতির মাধ্যমে গড়ে উঠা একজন নীতিবান নেতা খালেদাজিয়া উড়ে এসে জুড়ে বসা অযোগ্য ও লূটপাট কারী দলের প্রধানমন্ত্রী।,0,politics
খানকীর পোলা খানকীর মাগী এই ভাবে অডিশন নেওয়া হয়রে মাদারীর,1,entertainment
আল্লাগো আল্লাহ আমাদের মাফ কর। এ কেমন দেশে আছি। আল্লাহ তাদের বিচার এ জমিনেই দেখিয়ে যেইয়ো। মানুষ গুলো যাতে শিক্ষা পাই,0,religion
এই খানকির বাচ্চা মানুষ না অমানুষ ওর বাবা মা ওই খানকির বাচ্চারে শিক্ষা দেই নাই,1,religion
এর পর ও মেয়ে বিয়ে দেয়ার জন্য মেয়ের বাবা সরকারি অফিসার খুজে খুজে মেয়ে বিয়ে দেবে।,0,crime
খুনিদের বিচার চাই 😰😰😰😨,0,crime
চক দিয়ে পানি চলে আসে এয় মেয়ে কারনে ছেলে কে কুপিয়ে মেরে ফেলেছে😢😢😢,0,crime
চেনেল প্রোমট করার জন্য এই পতিতা দের ইন্টারভিউ নিচ্ছে,1,entertainment
মাদারচোদ রা তোদের কি কাজ কাম নেই,1,crime
"রুহুর আমীন একটু দুষ্টুমি করেছে, ডেকে মাথায় হাত বুলায়ে দেন ঠিক হয়ে যাবে।",0,celebrity
এক কথায় বলা যায় অসাধারন মুভি,0,entertainment
দুর্নীতি বাটবার ঘুশ খোর মাগিবাজ কথায় কথায় পুলিশের ভয় দেখায় অসভ্য জারা বর পদে বসে আকাম কুকাম করে এদের বিচার হয় না,1,crime
আল্লাহ তুমি রক্ষাকরো,0,"Meme, TikTok and others"
দেওয়ান বাগীর মারে চুদি,1,religion
কুত্তালীগকে কি বলব ভাষাই হারিয়ে ফেলছি এগিয়ে যান নুর ভাই,1,politics
তোর মতো মা বাঁচার দরকার নাই যার বাচ্চা থাকার পর ও অন্য পুরুষয়ের সাথে খারাপ কাজ করে চি চি,0,crime
ও আল্লাহ তুমি কোথায় এই জানোয়ারের হেদায়েত দাও আল্লাহ এর বিচার দুনিয়াতে দেখাও,1,"Meme, TikTok and others"
এক বা*দ ফেসবুক বানায় আরেক বা*দ লাইভ কি তাই চিনে না! পুরা দেশটাই বা*দে ভরে গেল!!!,0,celebrity
অনেকে বলে সে চাকরির কারণে বাধ্য হইসে এইগুলা করতে কিছু দুর্নীতি ঘুষখোর রা বলে তারা নাকি এগুলা নিতে বাধ্য হয়। আমি বলি এখন এইটাই সমস্যা। সবাই চাকরি যাবার ভয়ে সকল অনৈতিক দাবি মেনে নেয়। এইটা কোনো যুক্তিযুক্ত কথা হতে পারে না। চাকরি গেলে আপনি অন্য চাকরি করবেন আপনার যোগ্যতা থাকলে আপনি অবশ্যই চাকরি পাবেন ই। তাই আপনি নিজে সৎ হোন তাহলেই হবে। এখন চাকরির ক্ষেত্রে অন্যতম বড় গুণ হল বস এর গুনগান করা তেল দেয়া ইত্যাদি। মানুষ এর আত্মসম্মান না থাকলে এগুলা কখনো দূর হবে না। যারা বলে তারা বস এর কারণে বাধ্য হয়ে এগুলা করে তারা মিথ্যাবাদী খারাপ। আপনি না চাইলে কেউ আপনাকে জোর করে কিসু করাইতে পারবে না।,0,crime
পেছন দিয়ে বাসদিয়ে সামনে এসে মিস্টি কথা। পাপন কাক্কু ধংস অনিবার্জ,0,sports
এটা নাটক না ফাটক,0,entertainment
ব্রেস্টের সাইজ না কইরা পুরোটা কাইটা পালা তারপর সাইজ মত ডাব লাগাইয়া চলবি তাইলে দেশীয় পন্য ডাবের চাহিদা বারবো কিছু কর্মসংস্থানের সুযোগ হইবো তোদের জামাইরা মুখ দিয়া হতাশ হইবো না ডাবের পানি পাইবো,1,"Meme, TikTok and others"
পাপন কে বিসিবি থেকে বরখাস্ত করা হুক,0,sports
কাকু হাগল,1,"Meme, TikTok and others"
তুইত নিজেই বন্ড তাহিরির মত আলেম কে খারাপ বলিশ হালার পু হালা,1,religion
পোতি নাটোকে মোসারোফ কোরিম কেনো তার বউ কে নেই দেখলেই মেজায খারাপ হইয়া জাই। পেতনিরে কেনো নাটোকে নেই ভালো লাগেনা। আরো নাটোকের মুড নোসটো কোরে দেই,0,entertainment
ছাএলিগ মানি পতিতার বাচ্চা আওমিলিগ মানি কুকুরের বাচ্চা,1,politics
আজ পর্জন্ত কোন তদন্তের রিপোর্ট জনগন দেখেনি।।।,0,crime
নদীর নাভীর হুলাক টা সেরকম,1,entertainment
দিন দিন হাসির পাত্র হয়ে যাচ্ছেন  :-),0,celebrity
পাপন এর দুই গালে 👞জুতা মারো তালে তালে👟,1,sports
এই ধরনের ভনড পীরদের জন্য অনেক মুসলিমের ইমান নষ্ট হয়,0,religion
ওর মতো নারী বাংলাদেশ থেকে বের করে দেওয়া উচিত শাকিব যা বলেচে তা কম বলেছে ওকে বাজারে নামিয়ে দেওয়া উচিত,0,"Meme, TikTok and others"
খালেদা জিয়ার সাথে ওবায়দুল কাদেরের তুলনা করটা দলকানা করা আওয়ামী চামচাদের কাজ,0,politics
কনডম ছিড়ে যে গুলার জন্ম হয় সেই গুলা ই এই রিয়ালিটি সোর বিচারক হয়।,1,entertainment
তুই নাস্তিক,1,celebrity
আপনারা বালের বিচারক হইছেন আমি যদি ওইখানে থাকতাম তোদেরকে জুতাপিটা করতাম আর ওই যে ওরে চুদে দিতাম,1,entertainment
কুদাল বাবা ছাগল বাবা ফতেঃ বাবা গুড়া বাবা মহিষ বাবা হায়রে ছাগল🐐 বাবা,1,religion
এই কুত্তার বাচ্চা কে কোন শালা জাজ বানাইছে,1,entertainment
কে সুপার ওভার এ খােলাতে হতো,0,sports
পাপন তুমি যতই নিজের সাফাই গাও আমরা জনগন বুজতে পারি বিসিবির মধ্যে কালো ভুত ঠুকেছে।,0,sports
মিথ্যা কবর,0,"Meme, TikTok and others"
হাহা এগুলা মেয়ে নাকি পতিতালয়ে বেলুন দূর্ঘটনায় জন্ম নেওয়া মেয়ে,1,politics
সালায় পাকনামি কইরা শেষে অপমানিত হইলো হালা খালেক,1,religion
মাগি জবা,1,"Meme, TikTok and others"
সালারে জুতা মারেন,1,crime
"আমরা পাড়াগাঁয়ে থাকি তবুও আশাবাদি হয়ে বাঁচতে চাই কিন্ত একটা কথা আমাদের ভুলে গেলে চলবেনা যে রুশ বিপ্লবের মহানায়ক লেনিনের স্বপ্ন বাস্তবায়ন হয়নি,বাস্তবায়ন হয়েছে গরবাচেভের স্বপ্ন!দুনিয়ার সর্বহারা মানুষের জন্য যে সোভিয়েত ইউনিয়ন প্রতিষ্ঠা করেছিলেন,  গরবাচেভের হঠকারী সিদ্ধান্ত সব ধ্বংস হয়েগেল! আজ সমগ্র পৃথিবীতে শাসনকরছে আমেরিকা! দুনিয়া আজ ভারসাম্যহীন।মনে রাখবেন যদি বাংলাদেশে সামপ্রদায়িক গোষ্ঠী ফনা তোলার সুযোগ পায় তাহলে কাউকে ছোবল মারতে দ্বিধাবোধ করবেনা। তাই ' সাদাকে সাদা আর কালোকে কালো বলার' সাহস আমাদের থাকা উচিৎ।",0,celebrity
"খানকির পোলা কোত্থেকে বাহির হইছত,,গুটিকয়েক পরগাছা ছাড়া তোরে আর কারো ছো...র টাইম আছে নি।।বা.....দ।।ওয়াক থু",1,celebrity
বানাতে ভাল্লাগেনা তো বানিও না কেউ হাত পা ধরে বলছে না যে তুমি এসব ফাতরামি করো,0,entertainment
সব কয়টা হারামির বাচ্চা,1,sports
হেডা জিয়া,1,politics
হিরো আলমের জুতার সমান হয়নাই ওবায়দুল কাদের কে কে আমার কথার সাথে একমত লাইক কমেন্ট করেন।,0,politics
লোভে পাপ আর পাপে মৃত্যু এই রানুর ও একদিন এই অবস্থা হবেখুব বাজে এই রানুদি,0,"Meme, TikTok and others"
এই মাগি কি বালের উপস্থাপিকা পুরা নাস্তিক,1,religion
মুটকি খনকি,1,"Meme, TikTok and others"
এটার নাম আওয়ামী লীগ,0,politics
কোথায় রাজরানী কোথায় চুদমারানী কাউয়া কাদের,1,politics
পাপন খানকির পোলার বাবা জিল্লুর রহমান তো ভালো লোক ছিল এই মাগির পুত পাপনবাজার পদত্যাগ চাই 👇👇👎,1,sports
ডিসিকে সাধারন মানুষের কাছে ছেরে দেওয়াহোক তাহলে আসল বিচার হবে সরকারি কর্মকর্তাদের উপর আমাদের আস্থা নেই।,0,crime
এতে কষ্ট পাওয়ার কিছু নাই যার গায়ে আগুন দেওয়া হয়েছিল ঐ মেয়ে টা কত যন্ত্রণা ভোগ করতে হয়েছিল কিন্তু এতটাই পুড়ে ছিল বাঁচাতে পারেনি ?,0,crime
"খুনি ধর্ষন, গোলাম আযম, নিজামী, সাইদী রাজাকারদের চোদনে এতিমের টাকা চোর খালেদার ওরজে জন্ম পতিতালয়ের সন্তান গুলো এখানে হাহাহা রিয়েক্ট্য ও বাজে কমেন্ট করছে..",1,celebrity
জাফর ব্রো :-D,0,celebrity
দুইটাই জারজ,1,entertainment
আল্লাহ তাকে নেক হায়াত দান করুন,0,religion
ভাই এইসব তাদের কোনো শালাদের কানে যাবে না।,0,politics
আগে মিন্নিকে ধরাহক তাইলে সব সত্যটা বার হবে,0,crime
মাদার চুদ সালারা এখানে কে আনছে এদের এরা নাকি বিচারক বাল ফালাইতে আইছে তাদের জিজ্ঞেস করলে কি অভিনয় করে দেখাতে পারত শালারা।,1,entertainment
এটাকে জুতা ঝাড়ু দিয়ে পিটিয়ে দিন,0,"Meme, TikTok and others"
খানকির পোলা তাহেরী,1,religion
ওরে চোদার দরকার,1,"Meme, TikTok and others"
আরেকটা কথা শুন তরার ভিডিও টা দেখে আমার যেইMB টা নষ্ট হয়েছে এটা ফেরত দে নইলে তদের চ্যানেল আন সাবস্ক্রাইব করব,0,entertainment
ভাই ধন্যবাদ আপনাকে আপনার ভিডিও দেখে অনেক কিছু যানতে পারি।,0,politics
ড এনায়েত উল্লাহ অাব্বাসী যার নামের অাগে ডক্টর এবং সাইয়্যেদ ওনি উত্তর দিতে পারবে না🤧 বা ওনার জানা নাও থাকতে পারে এমন টাই বললেন পিছনের হিংসাত্মক মেী লোভী ব্যাক্তিটি গাদার মত দাঁড়িয়ে গেলেন শ্রোতাগন প্রশ্ন করতেছেন হজুর উওর দিচ্ছেন এরমধ্যেই কি ঘটল সবাই তু দেখল,0,religion
তোমার কাছে এমনটা আশা করি নাই তাসকিন ভাই ভিডিওটা দেখার মনে হয় এই ভাবে যদি তোমাকে মারা হত তাহলে বুঝতা তোমার মত এমন নোংরা মানুষকে জুতা মারা উচিত অন্য কিছু নিয়ে ফান করতে পারতা,0,sports
সালায় গাজা বেশি খাইছে,1,religion
শাহেদ ভাই আপনার কথার সুত্র ধরে বলি বর্তমান রাজনীতি বিদ সাধারণ মানুষের কি ভাগ্য বদলাবে নিজেরটা নিয়ে বাঁচে না,0,politics
যেখানে ভিডিও তে সব ক্লিয়ার দেখা যাচ্ছে সেখানে আবার কিসের তদন্ত করবে ডাইরেক্ট বিচার করা দরকার ঐ শুয়ারের বাচ্চার!,1,crime
"গানগুলো যদি দিতেন !! পরিবেশটা সুন্দর হতো,,,,,,",0,entertainment
বেশি সত্য বলেছেন। এ জন্য খুব ভাল লাগেনি। কাদের চাচাকে এই প্রশ্ন করলে হয়তো গুজব বলেই চালিয়ে দেবেন। বাকিটা পাতিহাসের ডিম,0,politics
মার জলেনা মাসির জলে কুত্তার দল,1,sports
ওবায়দুল কাদির একটা জারঝ সন্তান কারন ওবায়দুল কাদিরের জন্মের টিক নায়,1,politics
মাগীর পুলাই প্রশ্ন করে আরেক মাগী#,1,"Meme, TikTok and others"
"আপনার রাজাকার নানাকে মুক্তিযোদ্ধারা খতম করেছে। অথচ ১৯বছরের তাগড়া যুবক হয়েও যাত্রাবাড়ীতে গর্তে লুকিয়ে ছিলেন। এখন মুক্ত বা স্বাধীন বাংলাদেশের আলো বাতাস গ্রহন করতে আপনার একটুও লজ্জা করে না ? পড়ালেখা করা লোক  এতো নির্লজ্জ কি করে হয় ?  আপনার কখনো যদি বিবেক জাগে। তবে বুঝবেন। আপনি রাজাকারের নাতি , রাজাকার হয়ে গর্তে ছিলেন। মুক্তিযোদ্ধাদের সাহায্যে বাহির হননি😡✊🏽",0,celebrity
মাগী তোরে হোটেলে নিতে চায় মাগী,1,entertainment
করুন পাবা,0,religion
মাসুদ রানার মারে আমি চুদি,1,entertainment
ও বেশসে,0,entertainment
লুচ্চা প্রশাসন,1,crime
"মাগির বুড়ো লান্ড লাগবে,তাইতো কলকাতায় মাগি।",1,entertainment
এখন উনি ঘড়িকেষ্ট 😂,0,politics
ওর চেহেরা কুওার পুটকির মতন শালী গাঁজাখোর ওরে দেখতে গাঁজাখোরের মত লাগে,1,entertainment
ঔ শালার বৌ কে জেলে দেওয়ার দরকার,1,"Meme, TikTok and others"
তোম মারে হোদাইচে সালার পুত,1,sports
এই মাস্টারপিস মুভিতেও যারা আনলাইক দিছে তারা কারা???!!,0,entertainment
এই সব বিচারকদের পায়ের নলি কেটে দেওয়া উচিত বাইরে বের হলে এই সব আবাল মার্কা বিচারক যে করছে সে শালাও আবাল,0,entertainment
মিন্নির হাঁটা চলা দেখলে বুঝা য়ায় যে ঐ মেয়ের ষড়যন্ত্রে রিফাত কে ধরে নেওয়া হয়েছে।কারণ হচ্ছে যদি রিফাতকে হঠাৎ করে ধরত তাহলে মেয়েটি আতঙ্কে থাকতো। এখানে মেয়েটিকে আতঙ্কের কিছুই বোঝা যায় না । আমার মনে হচ্ছে মিন্নি নয়নবন্ড এবং রিফাতদের সহযোগী। মিন্নির ডি এন এ টেস্ট করা হোক আমাদের মনে হচ্ছে ওই মেয়ে ও মাদকে আসক্ত। উর্দ্ধতন কর্মকর্তার প্রতি আকুল অনুরোধ যে এই ব্যাপারটা ভালো করে তদন্ত করা হোক।এই ভিডিও ফুটেজটি ভালো করে দেখে তদন্ত করা হোক। খুনিদের ফাঁসি হোক।,0,crime
কাকু খুব আকাম চুদাইচ জীবনে,1,"Meme, TikTok and others"
নুচচা মাগি দূত দেখে বোঝা যায় আর ও যে সব ছবি করছে আর বললাম না থাক,1,"Meme, TikTok and others"
আলোচনার মাধ্যমে সমস্যা সমাধান করা উচিৎ যুদ্ধ করোর জন্যই মংগল বয়ে আনবে না কাশ্মীরে দ্বারা পুনরায় স্হাপন জরুরী,0,"Meme, TikTok and others"
৭ই মার্চের ভাষণে ষাড়ের চেতনা জাগ্রত হলেও তিনি গর্তে লুকিয়ে ছিলেন কারন মুরগির কলিজা হওয়ায় তিনি যুদ্ধে যেতে পারেননি।,1,celebrity
মামা ক্রিকেটের হোগামারা সারা,1,sports
এরে জে চুূদলো সে ভাল জে ভিডিও করলো সে খারাপ আমার মনে হয় এ মাগি তাহলে কি অফিসে এখন মাগিও রাখা হয়।,1,crime
এই বাচ্চা হুজুরে মা রে আমি চুদি মাদার,1,religion
কপাল ভালো বাংলাদেশে এমন হলে খুব কঠিন শাস্তি দিতো জনগন ওর ফাসি চাই কিভাবে বাবার গায়ে হাত দেয়,0,"Meme, TikTok and others"
এই চানালহল খানকিমাগির,1,"Meme, TikTok and others"
"আমার দেখা বাংলা সেরা ছবি😍👌<br />দেন, আমার শট নামও দীপু😊",0,entertainment
"এত সুন্দর অভিনয় আর কোনো নায়ক, নায়িকা কোনো দিনই পারবে না...",0,entertainment
আবাল নিউজ,0,sports
নাস্তিক বাচ্চা নাস্তিক রা কেমন করছে কুত্তার মতো ঘেউ ঘেউ করছে,1,religion
এই আবালের লেখাটার একটি লাইনও না পড়ে সরাসরি কমেন্টে চলে আসলাম। আসার পর মনে হলো ভুল করিনি।😂,0,celebrity
ওরা দুজনে বড় ও বউ পাবে কিন্তু ছেলে টার দিকে তাকিয়ে ওদের এক হয়ে জায়া উচিত আসা করি বুঝতে বারছেন,0,"Meme, TikTok and others"
মেয়েতো নয় মনে হচ্চে,0,politics
কোথায় আগর তলা আর কোথায় ওগঊর তলা হিন্দু কুলাঈারের সাথে কেন যে নিয়ে আসে চেনে লের লোকেরা আমার বুজে আসেনা,1,politics
এখন আল্লাহকে ডাকো কেন?পাপ করার আগে মনে ছিলনা?আমি বিচারক হলে ফাসি না আগে ধোন গোড়া মেরে কাটতাম পরে ফাসি,1,crime
সাব্বিরে মারে চূদি,1,sports
এই ভিডিওতে অনেক কিছু দেখার সৌভাগ্য হয়েছে যখন ধরে নিয়ে যায় ওনার বৌ তো রিল্যাক্সে ছিল নর্মাল ভাবে হেটে যাচ্ছে,0,crime
রাইট বলছেন,0,religion
মানুষ নামে জানোয়ার,1,"Meme, TikTok and others"
তুইতো সাবনুর ত দুরের কথা তুইতো ময়ুরীর যোগ্যনা তুই পতিতালয়ে যা,1,entertainment
সালাকে জুতা পাটানো হোক,1,religion
ভারত জিতবে,0,"Meme, TikTok and others"
আর না এখন হর হর মোদি,0,"Meme, TikTok and others"
অবশেষে আপনার ঘুম ভেঙ্গেছে!!!,0,celebrity
আমি মুসফিকের গুস্টি চুদি। আমার এখন বাল ফালা,1,sports
এসব মিথ্যাবাদী বিজেপির ষাঁড়েদের কথা বিশ্বাস কর নাআসামে নামে লক্ষ হিন্দু সম্প্রদায়ের মানুষ চরম নির্যাতিত হচ্ছে ডিন্টেনশন ক্যাম্পে বাংলায় হলে হিন্দু সম্প্রদায়ের মানুষেরা বেশি পস্তাবে,0,"Meme, TikTok and others"
সবথেকে বড় মিথ্যা প্রচার এই শুয়োর গুলো চ্যানেল কেন খুলে সেটাই চিন্তার বিষয়,1,"Meme, TikTok and others"
এটা তো একটা মাগি,1,"Meme, TikTok and others"
হালায় ভন্ডা বক্তা,0,religion
তুইতো হলে নাস্তিক আওয়ামী লীগের  দালাল,1,celebrity
এনার মাথার আসলে সমস্যা আছে। অতি দ্রুত পাবনায় পাঠানো দরকার।,0,celebrity
এর সোনার মধ্য গরম চিক দেক মাগি আর ডিসি খানকির পোলার লাওড়ার মধ্য ইট বেদে দেক,1,crime
দূই জন পতিতা মাগী নাম্বার এক কারন মা আগে করছে পতিতা মজা টিভি খানকি পুত শালা,1,entertainment
আওমিলিগের শোনার ছেলেদের এগুলো কোনো ব্যাপার না না না। ।?,0,politics
এই শালারে চোরের মত লাগে বালবির,1,sports
হা হা হা নারী নেএীত্ত হারাম আজ বুজতে পেরেছে মানুষ জা সারে বছর আগে বলেছিল মোহাম্মদ সাঃ কে অপমান করে কখনো শাত্তি পাওয়া জাবে না,0,politics
এই না লিখতে পারাটাও তো একটা প্রতিবাদ ।,0,celebrity
বেগম জিয়া এর সাথে কাউয়া কাদের এর তুলনা!! শুনেই হাসি আসতেসে।🤣🤣😂,1,politics
মন্ত্রী সাহেব যতগুলা গাড়ি চেক করলেন। একটা গাড়ি চালকেরও সিটবেল লাগানো নেই। কি যে চেক করল কিছুই বুঝলামনা। কিন্তু মনে হচ্ছে কোন সিনেমার সুটিং চলছে। বাহিরের দেশগুলোতে ট্রাফিক আইন গুলো অনেক কঠিন হয়। আমি সৌদি আরবে গাড়ি চালাই। এখান কার নিয়ম কানোন সঠিক ভাবে মেনে গাড়ি চালাতে হয়।।,0,politics
আমার দাবি বাবড়ি মজিদ চাই এই রাই আমি মানি না মানি না,0,"Meme, TikTok and others"
তোমার বাডি কোথাই,0,"Meme, TikTok and others"
হালা টেকনিক্যালি কথা বলছো জাতি বোকা না সবাই সব বুজে। হাজার কোটি টাকা আকরে দরে আছো এখন মিঠা মিঠা কথা বলে মানুষ কে বুজাইতাচো তুমি দোয়া তুলসি পাতা।,1,sports
অপু উকিল ম্যাডাম তারেক জিয়া চুরি করেছিল বলে কি আপনারা ডাকাতি করবেন?,0,politics
"লেখাটা পড়ে খুব ভাল লাগলো, সমার্বতনে থাকতে না পারা কষ্ট কিছুটা হলেও কমে গেছে। আর আসলেই আমাদের দেশটা চাষী, নারী এবং অন্যান্য সাধারণ জনগণের জন্যই এগিয়ে যাচ্ছে। আমরা শিক্ষিত ব্যক্তিরা যদি সত্যিকারের দেশকে ভালবাসতে পারি তবেই চতুর্থ পিলার হিসাবে দেশের কাজে লাগতে পারব অন্যথায় সম্ভব নয়।",0,celebrity
